,currentRanking,userId,displayName,userUrl,joinDate,tier,totalGoldMedals,totalSilverMedals,totalBronzeMedals,points
0,1,793761,Larxel,/andrewmvd,2016-11-15,GRANDMASTER,10,24,42,1129
1,2,1571785,Shivam Bansal,/shivamb,2018-01-22,GRANDMASTER,5,8,31,886
2,3,769452,Gabriel Preda,/gpreda,2016-10-27,GRANDMASTER,7,9,47,798
3,4,3309826,Ruchi Bhatia,/ruchi798,2019-06-04,GRANDMASTER,12,13,17,750
4,5,6402661,fedesoriano,/fedesoriano,2020-12-18,GRANDMASTER,5,8,14,728
5,6,6096594,Anandhu H,/anandhuh,2020-11-04,GRANDMASTER,6,19,6,718
6,7,9590174,Suraj Jha,/surajjha101,2022-02-06,GRANDMASTER,8,6,1,687
7,8,998023,Timo Bozsolik,/timoboz,2017-03-31,MASTER,4,3,6,666
8,9,3012786,Marília Prata,/mpwolke,2019-03-29,MASTER,1,10,94,644
9,10,71388,SRK,/sudalairajkumar,2012-11-28,GRANDMASTER,10,3,3,577
10,11,484516,Chris Crawford,/crawford,2015-12-09,GRANDMASTER,11,12,53,548
11,12,2411256,Saurabh Shahane,/saurabhshahane,2018-10-26,GRANDMASTER,5,5,55,541
12,13,6693435,Sanskar Hasija,/odins0n,2021-02-09,GRANDMASTER,6,6,6,518
13,14,2931338,devrishi,/devvret,2019-03-12,EXPERT,1,0,3,495
14,15,1723677,Chris Deotte,/cdeotte,2018-03-14,GRANDMASTER,8,10,28,485
15,16,590653,Zeeshan-ul-hassan Usmani,/zusmani,2016-04-19,GRANDMASTER,7,8,23,464
16,17,3682357,Deep Contractor,/deepcontractor,2019-09-09,MASTER,4,6,18,460
17,18,373959,Tensor Girl,/usharengaraju,2015-06-27,GRANDMASTER,9,16,9,454
18,19,18463,Mathurin Aché,/mathurinache,2011-10-11,MASTER,2,3,50,450
19,20,5309,Abhishek Thakur,/abhishek,2011-01-12,GRANDMASTER,13,6,26,447
20,21,644036,Rob Mulla,/robikscube,2016-06-18,MASTER,2,4,24,445
21,22,7024923,Sourav Banerjee,/iamsouravbanerjee,2021-03-25,GRANDMASTER,6,8,0,439
22,23,405318,raddar,/raddar,2015-08-24,MASTER,3,3,12,417
23,24,761104,Möbius,/arashnic,2016-10-21,MASTER,2,4,35,410
24,25,6279218,Ram Jas Maurya,/ramjasmaurya,2020-11-30,EXPERT,0,5,39,407
25,26,2352583,xhlulu,/xhlulu,2018-10-12,GRANDMASTER,5,5,31,406
26,27,417337,Bojan Tunguz,/tunguz,2015-09-11,GRANDMASTER,7,9,38,399
27,28,2527236,Ms. Nancy Al Aswad,/nancyalaswad90,2018-11-22,GRANDMASTER,5,5,0,392
28,29,113389,Vopani,/rohanrao,2013-07-09,GRANDMASTER,8,2,7,350
29,30,1162990,Rachael Tatman,/rtatman,2017-07-10,GRANDMASTER,7,9,44,335
30,31,4730101,Rashik Rahman,/rashikrahmanpritom,2020-03-24,MASTER,1,6,5,318
31,32,3828601,koustubhk,/kkhandekar,2019-10-09,EXPERT,0,0,49,316
32,33,797864,Abigail Larion,/abigaillarion,2016-11-16,GRANDMASTER,5,10,43,315
33,34,3951589,mugen88,/mugentk,2019-10-30,GRANDMASTER,5,5,0,315
34,35,1120513,Prasert Kanawattanachai,/prasertk,2017-06-11,EXPERT,0,1,40,306
35,36,8267012,Anshul Mehta,/anshulmehtakaggl,2021-09-02,MASTER,1,9,4,295
36,37,6641125,Meet Nagadia,/meetnagadia,2021-02-02,EXPERT,0,3,27,283
37,38,1236717,Mitchell J,/datasnaek,2017-08-28,EXPERT,3,1,1,279
38,39,3574256,Awsaf,/awsaf49,2019-08-12,MASTER,1,6,15,276
39,40,7042824,Baris Dincer,/brsdincer,2021-03-27,EXPERT,0,2,35,274
