Customer ID,Gender,Age,Married,Number of Dependents,City,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Revenue,Customer Status,Churn Reason
0004-TLHLJ,Male,50,No,0,Costa Mesa,33.645672,-117.922613,0,4,Offer E,Yes,No,Yes,Fiber Optic,30.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,73.9,280.85,0.0,0,415.45,Churned,Competitor had better devices
0011-IGKFF,Male,78,Yes,0,Martinez,38.014457,-122.115432,1,13,Offer D,Yes,No,Yes,Fiber Optic,4.0,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Bank Withdrawal,98.0,1237.85,0.0,0,1599.51,Churned,Product dissatisfaction
0094-OIFMO,Female,78,No,1,North Hollywood,34.207295,-118.400022,0,11,Offer D,Yes,No,Yes,Fiber Optic,29.0,No,Yes,Yes,Yes,No,No,Month-to-Month,Bank Withdrawal,95.0,1120.3,0.0,120,1367.79,Churned,Product dissatisfaction
0112-QWPNC,Male,61,Yes,0,Valyermo,34.39583,-117.734568,1,49,Offer B,Yes,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,One Year,Bank Withdrawal,84.35,4059.35,0.0,0,5997.3,Churned,Competitor offered higher download speeds
0125-LZQXK,Male,42,No,0,Big Oak Flat,37.818589,-120.256995,0,15,Offer D,Yes,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,101.35,1553.95,0.0,0,2242.75,Churned,Attitude of service provider
0135-NMXAP,Female,57,No,0,Lodi,38.123544,-121.159078,0,12,Offer D,Yes,Yes,Yes,Fiber Optic,6.0,No,Yes,Yes,No,No,Yes,Month-to-Month,Bank Withdrawal,89.75,1052.4,0.0,0,1224.96,Churned,Attitude of support person
0137-OCGAB,Female,25,No,0,Fairfield,38.287136,-122.02711,0,1,Offer E,Yes,Yes,Yes,Fiber Optic,69.0,No,Yes,No,No,No,Yes,Month-to-Month,Mailed Check,80.2,80.2,0.0,0,81.43,Churned,Lack of affordable download/upload speed
0151-ONTOV,Female,43,No,0,Moorpark,34.312945,-118.858169,0,1,Offer E,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,No,Yes,Month-to-Month,Mailed Check,70.9,70.9,0.0,0,110.71,Churned,Competitor had better devices
0156-FVPTA,Male,48,Yes,0,Solvang,34.624399,-120.137875,1,22,Offer D,Yes,No,Yes,DSL,21.0,Yes,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,54.2,1152.7,0.0,0,1751.98,Churned,Attitude of service provider
0195-IESCP,Male,26,Yes,0,Armona,36.315979,-119.710852,1,10,Offer D,Yes,Yes,Yes,Fiber Optic,82.0,No,No,No,Yes,Yes,No,Month-to-Month,Bank Withdrawal,85.25,855.3,0.0,100,975.5,Churned,Competitor offered more data
0201-OAMXR,Female,30,No,0,Mckinleyville,40.965011,-124.015255,0,70,Offer A,Yes,Yes,Yes,Fiber Optic,52.0,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Credit Card,115.55,8127.6,0.0,0,8842.3,Churned,Network reliability
0219-YTZUE,Male,26,Yes,0,San Diego,32.85723,-117.209774,5,4,Offer E,Yes,Yes,Yes,Fiber Optic,19.0,No,Yes,No,No,Yes,Yes,Month-to-Month,Bank Withdrawal,84.8,371.9,0.0,0,486.98,Churned,Competitor made better offer
0220-EBGCE,Male,58,No,0,Escondido,33.141265,-116.967221,0,2,Offer E,Yes,No,Yes,Fiber Optic,28.0,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,85.85,167.3,0.0,0,195.58,Churned,Competitor made better offer
0235-KGSLC,Female,45,No,0,Buellton,34.631362,-120.238218,0,1,Offer E,Yes,No,Yes,Fiber Optic,4.0,No,No,Yes,No,No,Yes,Month-to-Month,Credit Card,85.55,85.55,0.0,0,118.89,Churned,Moved
0256-LTHVJ,Female,58,Yes,0,Ludlow,34.702766,-116.093376,1,28,Offer C,Yes,No,Yes,Fiber Optic,13.0,No,No,No,Yes,Yes,Yes,Month-to-Month,Bank Withdrawal,81.05,2227.1,0.0,0,2698.9,Churned,Competitor had better devices
0259-GBZSH,Male,22,No,0,San Diego,32.85723,-117.209774,0,2,Offer E,Yes,Yes,Yes,Cable,27.0,No,No,Yes,No,Yes,Yes,Month-to-Month,Bank Withdrawal,85.65,181.5,0.0,0,262.36,Churned,Competitor made better offer
0265-EDXBD,Male,76,Yes,0,San Diego,32.85723,-117.209774,2,32,Offer C,Yes,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,74.9,2303.35,0.0,0,3818.23,Churned,Attitude of support person
0330-IVZHA,Female,55,Yes,0,Anderson,40.448632,-122.306657,1,5,Offer E,Yes,No,Yes,Fiber Optic,10.0,No,No,No,No,No,Yes,Month-to-Month,Bank Withdrawal,69.95,330.15,0.0,0,415.55,Churned,Attitude of service provider
